Frauenvorname,URI
Anna,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00001
Sara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00002
Kleophea,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00003
Ursula,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00004
Barbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00005
Verena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00006
Dorothea,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00007
Elisabeth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00008
Katharina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00009
Walburg,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00010
Margaretha,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00011
Jakobea,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00012
Adelheid,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00013
Küngolt,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00014
Agatha,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00015
Magdalena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00016
Eva,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00017
Veronika,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00018
Ottilia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00019
Johanna,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00020
Cordula,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00021
Sophia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00022
Regula,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00023
Apollonia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00024
Engel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00025
Petronella,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00026
Amalia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00027
Maria,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00028
Judith,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00029
Marina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00030
Agnes,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00031
Aemilia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00032
Justina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00033
Maxentia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00034
Beatrix,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00035
Afra,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00036
Sibylla,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00037
Wibrat,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00038
Salome,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00039
Susanna,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00040
Christine,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00041
Abigael,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00042
Martha,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00043
Fida,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00044
Esther,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00045
Fides,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00046
Veritas,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00047
Euphrosina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00048
Anna Maria,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00049
Rahel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00050
Anna Barbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00051
Lydia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00052
Anna Katharina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00053
Helena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00054
Maria Barbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00055
Anna Magdalena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00056
Maria Elisabeth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00057
Emerentiana,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00058
Anna Margaretha,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00059
Maria Juliana,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00060
Anna Dorothea,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00061
Margaretha Claudina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00062
Benediktina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00063
Benedikta,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00064
Kleinanna,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00065
Richli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00066
Kleinbarbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00067
Maria Magdalena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00068
N.,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00069
Anna Kleophea,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00070
Christina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00071
Kleinelisabeth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00072
Rosina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00073
Kleinverena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00074
Ita,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00075
Regina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00076
Meret,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00077
Elsi,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00078
Angela,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00079
Brigitta,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00080
Gertrud,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00081
Monika,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00082
Genoveva,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00083
Sabina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00084
Aqnna,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00085
Notburg,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00086
Egli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00087
Brida,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00088
Agga,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00089
Emerita,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00090
Luzia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00091
Rebekka,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00092
Menta,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00093
Rosa,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00094
Brigida,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00095
Kleindorothea,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00096
Famula,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00097
Antalina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00098
Kleinregula,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00099
Cäcilia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00100
Anna Esther,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00101
Anna Sabina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00102
Klara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00103
Rosilla,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00104
Anna Ursula,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00105
Neopart,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00106
Gutta,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00107
Kleinursula,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00108
Gora,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00109
Franziska,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00110
Anna Franziska,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00111
Amelia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00112
Kunigunde,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00113
Mechthild,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00114
Gottlieb,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00115
Antonia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00116
Antonina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00117
Femula,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00118
Anna Konstantia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00119
Jona,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00120
Mar.,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00121
Dominique,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00122
Marie,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00123
Jeanne,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00124
Kleinmargaretha,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00125
Ruth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00126
Hedwig,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00127
Tilio,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00128
Walpurg,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00129
Justina Barbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00130
