Nachname,URI
Iringer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Iringer
Studer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Studer
Kräutli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kraeutli
Eschliker,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Eschliker
Nussbaumer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Nussbaumer
Goldschmid,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Goldschmid
Geilinger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Geilinger
Graf,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Graf
Wehrli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wehrli
Schickli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schickli
Schwaninger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schwaninger
Wuhrmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wuhrmann
Bucher,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bucher
Blum,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Blum
Dingli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Dingli
Felber,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Felber
Wahl,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wahl
Schalcher,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schalcher
Kappeler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kappeler
Etzensperger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Etzensperger
Koller,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Koller
Hegnauer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hegnauer
Sprunger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Sprunger
Matzinger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Matzinger
Sulzer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Sulzer
Fehr,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Fehr
Hegner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hegner
Liechti,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Liechti
Saller,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Saller
Steinmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Steinmann
Mülich,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Muelich
Weidenmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Weidenmann
Frei,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Frei
Forster,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Forster
Jäggli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Jaeggli
Keller,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Keller
Lämmli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Laemmli
Sinz,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Sinz
Täuber,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Taeuber
Erhart,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Erhart
Weinmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Weinmann
Vögeli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Voegeli
Dötzli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Doetzli
von Bonstetten,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_von_Bonstetten
Göldi,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Goeldi
Steiner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Steiner
Stelzer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stelzer
Wagner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wagner
Ziegler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ziegler
Lucker,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Lucker
Kaufmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kaufmann
Hufschmid,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hufschmid
Hardmeier,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hardmeier
Hettlinger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hettlinger
Rüpplin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ruepplin
Weyermann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Weyermann
Schwarz,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schwarz
Grossmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Grossmann
Büchi,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Buechi
Stäheli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Staeheli
Bosshard,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bosshard
Lienhard,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Lienhard
Schönenberger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schoenenberger
Winkler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Winkler
Mantel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Mantel
Maag,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Maag
Butzer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Butzer
Meili,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Meili
Fischer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Fischer
Büel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bueel
Forrer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Forrer
Aberli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Aberli
Burbon,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Burbon
Sällouw,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Saellouw
Spät,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Spaet
Bachmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bachmann
Habs,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Habs
Flach,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Flach
Sporrer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Sporrer
Greutmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Greutmann
Scheppender,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Scheppender
Kuster,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kuster
Wügerli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wuegerli
Burgrecht,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Burgrecht
Zart,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Zart
Bücheler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Buecheler
Schreiber,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schreiber
Meier,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Meier
Näfli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Naefli
Vogt,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Vogt
Wirth,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wirth
Dietliker,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Dietliker
Weiss,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Weiss
Lichtensteiger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Lichtensteiger
Rieter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rieter
