Band-Signatur,Anzahl
Andelfingen,E III 8.9,219
Spitalpfarramt,TAI 1.790; StadtAZH VIII.C. 55.,133
Andelfingen,E III 8.8,154
Schlatt,E III 103.2,396
Schlatt,E III 103.1,636
Seegräben,E III 110.1,277
Meilen,E III 75.2,1545
Meilen,E III 75.3,1290
Witikon,TAI 1.883; StadtAZH VIII.C. 187.,498
Meilen,E III 75.1,953
Bauma,E III 12.1,191
Bauma,E III 12.2,1036
Bauma,E III 12.3,925
Maur,E III 74.1,958
Urdorf-Dietikon,E III 128.3,269
Rümlang,E III 99.2,335
Rümlang,E III 99.3,1050
Urdorf-Dietikon,E III 128.2,658
Wiesendangen,E III 140.1,1411
Urdorf-Dietikon,E III 128.1,998
Schlieren,E III 104.2,770
Schlieren,E III 104.1,279
Horgen,E III 58.2,536
Horgen,E III 58.3,717
Richterswil,E III 95.1,538
Horgen,E III 58.5,468
Richterswil,E III 95.3,679
Richterswil,E III 95.2,860
Andelfingen,E III 8.10,3063
Wetzikon,E III 139.3,1102
Wila,E III 142.3,65
Wila,E III 142.2,677
Wila,E III 142.1,569
Herrliberg,E III 50.1,1349
Weiach,E III 136.2,349
Hütten,E III 59.1,281
Weiach,E III 136.1,856
Grossmünster,TAI 1.739; StadtAZH VIII.C. 5.,2720
Affoltern am Albis,E III 3.1,317
Affoltern,TAI 1.862 (Teil 2); StadtAZH VIII.C. 166.,657
Fällanden,E III 38.2,279
Brütten,E III 17.1,826
Dättlikon,E III 24.1,369
Dättlikon,E III 24.2,235
Oberwinterthur,TAI 1.709.1; StadtA Winterthur OJB 1,1
Winterthur,TAI 1.725; StadtA Winterthur B 3 m/1,1894
Dorf,E III 28.1,510
Regensdorf,E III 93.1,842
Regensdorf,E III 93.2,753
Wollishofen,TAI 1.846 (Teil 1); StadtAZH VIII.C. 110.,710
Uetikon am See,E III 126.2,475
Uetikon am See,E III 126.1,527
Rüschlikon,E III 100.1,468
Wangen,E III 135.3,36
Wangen,E III 135.1,484
Thalheim an der Thur,E III 120.2,427
Thalheim an der Thur,E III 120.1,341
Aadorf,TAI 3.1; StATG Slg. 13.2.0,136
Pfungen,E III 90.1,407
Meilen,E III 75.4,395
Dürnten,E III 30.2,776
Dürnten,E III 30.1,1007
Ottenbach,E III 88.3,716
Ottenbach,E III 88.2,192
Ottenbach,E III 88.1,371
Ottenbach,E III 88.5,275
Ottenbach,E III 88.4,453
Altstetten,TAI 1.867; StadtAZH VIII.C. 171.,1505
Illnau,E III 60.1,2362
Illnau,E III 60.2,1602
Stadel,E III 114.1,1337
Stadel,E III 114.2,431
Stadel,E III 114.3,212
Dietlikon,E III 26.1,1220
Hausen am Albis,E III 47.1,827
Hausen am Albis,E III 47.2,441
Schwerzenbach,E III 108.1,198
Oberrieden,E III 82.1,271
Henggart,E III 49.1,588
Zollikon,E III 148.5,165
Zollikon,E III 148.1,1848
Höngg,TAI 1.873 (Teil 4); StadtAZH VIII.C. 177.,1152
Gossau,E III 44.2,1986
Neunforn,TAI 3.33; StATG Slg. 13.2.0/245,592
