Herkunftsort,URI
Richterswil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
St. Gallen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Müllheim TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Ulm (Deutschland),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wülflingen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Aadorf TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Berg am Irchel,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Zinzikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Weinfelden TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Seen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rapperswil SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Sulz,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Aarau AG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Frauenfeld TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hettlingen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Turbenthal,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bürglen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Kirchberg SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Eich,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Elgg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Villingen (Deutschland),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Schaffhausen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Zürich,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Genf,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Greyerz FR,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Buch,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rickenbach,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Sitz,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Zell,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Seuzach,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Regensberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Töss,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hallau SH,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Zetzwil AG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Ettenhausen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Montbéliard (Frankreich),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Linn AG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Willisau LU,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Embrach,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bazenheid SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Nürensdorf,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Aostatal (Italien),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Frankreich,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Winterthur,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Lunkhofen AG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wenzikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Tobel,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Opfertshofen SH,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rudolfingen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Altikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Stammheim,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Katzenrüti,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Lempach,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bern,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Pfungen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Räterschen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Grafstal,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bülach,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Oberwinterthur,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Kaiserstuhl AG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Flurlingen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Elsau,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Alterswilen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wiesendangen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wipkingen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rohrbach,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Herten,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bischofszell TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Entenschiess TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bregenz (Österreich),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Konstanz (Deutschland),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Thalwil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Buch am Irchel,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Eschlikon TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Liestal BL,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Brugg AG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Oesch BE,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Stein am Rhein SH,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rumlikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Sirnach TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Steckborn TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Burgdorf BE,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Fischenthal,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Gundetswil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Arbon TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Mollis GL,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Lahr (Deutschland),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Freudenstadt (Deutschland),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Schottikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Dinkelsbühl (Deutschland),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Linz (Österreich),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Esslingen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hegi,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Württemberg (Deutschland),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Luzern,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Biberach (Deutschland),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Oberwil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Baltenswil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Girenbad,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hessen (Deutschland),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Egg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rutschwil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Gräslikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Toggenburg SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Dübendorf,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Teufen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Gütighausen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Dietlikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hüttwilen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wildberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Kurzdorf TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rüti,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Feuerthalen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Herisau AR,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Kappel am Albis,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hattingen (Deutschland),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Sachsen (Deutschland),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Neftenbach,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Eschenberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
