hls_id,url,title,gender,starttimerange,endtimerange,timeprecision,vorname,nachname,gbdatum,tddatum,heiratsdatum,heiratspartner,text
3023,https://hls-dhs-dss.ch/de/articles/003023/,"Florentini, Nikolaus Franz",Männlich,1751–1800,1851–1900,,Nikolaus Franz,Florentini,1794-09-07,1881-06-20,,," Autorin/Autor: Leo Ettlin 7.9.1794 Müstair, 20.6.1881 Chur, katholisch, von Müstair. Sohn des Antoni Florintöni und der Benedicta Conrad. Gymnasium bei den Benediktinern von Marienberg in Meran. Nikolaus Franz Florentini studierte Theologie am Jesuitenkolleg in Solothurn und am Priesterseminar Chur. 1817 Priesterweihe. 1818 Pfarrer von Vals, 1824 Pfarrer von Samnaun, 1836 Professor der Moraltheologie in Chur, 1841 Domherr. 1859 ernannte ihn Papst Pius IX. zum Bischof von Chur. Bei der Wahl hatte das Domkapitel die Tilgung der hohen Bistumsschulden gefordert. 1860 ernannte Florentini seinen Vetter, den Kapuziner und Caritasapostel Theodosius Florentini, zum Offizial und Generalvikar. Im Benediktiner Kaspar Willi erhielt Florentini 1868 einen Weihbischof, der nach seiner Resignation 1876 sein Nachfolger wurde."
3022,https://hls-dhs-dss.ch/de/articles/003022/,"Carl von Hohenbalken, Kaspar de",Männlich,1751–1800,1851–1900,,Kaspar de,Carl von Hohenbalken,1781-03-27,1859-04-19,,,"     Porträt des Churer Bischofs. Lithografie von Jacob Balzer, 1852 (Kantonsbibliothek Graubünden, Chur). Autorin/Autor: Leo Ettlin 27.3.1781 Tarasp, 19.4.1859 Chur, kath. Sohn des Johann und der Ursula Thöni. Aus altem Ministerialengeschlecht der Fürstbf. von Chur. Klosterschule Marienberg (Vinschgau). Philosophiestud. in Innsbruck, Theologiestud. in Brixen. 1804 Priesterweihe, danach in Meran Repetent am Seminar und Pfarrvikar. 1807 mit dem Churer Bf. Karl Rudolf Buol von Schauenstein von der bayr. Regierung aus dem Tirol verwiesen. 1808 am Churer Priesterseminar Prof. für Moral und Kirchenrecht, worin er als Autorität galt. 1826 residierender Domherr, 1830 Regens, 1841 Dompropst. 1843 Koadjutor des Bf. Johann Georg Bossi, Titularbf. von Hippo (Tunesien). 1844-59 Bf. von Chur: Harte Auseinandersetzungen mit der Bündner Regierung um den konfessionellen Charakter der Kantonsschule, in der Folge Verlegung des Knabenseminars an das Kollegium Maria Hilf in Schwyz. 1852 Vertrag mit der Stadt Chur, der den Hof Chur in die Stadt eingliederte. 1857 Vereinbarung mit Glarus über dessen provisor. Eingliederung in das Bistum Chur."
3021,https://hls-dhs-dss.ch/de/articles/003021/,"Bossi, Johann Georg",Männlich,1751–1800,1801–1850,,Johann Georg,Bossi,1773-08-10,1844-01-09,,," Autorin/Autor: Leo Ettlin 10.8.1773 Mon, 9.1.1844 Chur, von Mon. Sohn des Paulus Jakobus, Landwirts, und der Maria Barbara Catharina Wiezel. Stud. in Feldkirch (Vorarlberg), Ottobeuren (Bayern) und Mailand (Collegium Helveticum). 1797 Priester, 1799 Pfarrer von Mon. 1826 Churer Domscholaster, nach dem Tod des Bf. Karl Rudolf Buol von Schauenstein 1834 zum Bf. von Chur und St. Gallen ernannt. Erst nachdem 1836 der Hl. Stuhl das Bistum St. Gallen von Chur getrennt hatte, anerkannte die Bündner Regierung B. als Churer Bf. Gegen B.s Widerstand übernahm die Kantonsregierung die dem Priesterseminar St. Luzi angeschlossene Knabenschule als kath. Kantonsschule. B. verfasste einige rätorom. Gebetbücher. Ein Schlaganfall band ihn ab 1838 dauernd an die Residenz Chur. Der wiederholten Bitte um einen Koadjutor wurde von Rom erst 1843 mit der Ernennung Kaspars de Carl von Hohenbalken entsprochen."
3020,https://hls-dhs-dss.ch/de/articles/003020/,"Buol von Schauenstein, Karl Rudolf",Männlich,1751–1800,1801–1850,,Karl Rudolf,Buol von Schauenstein,1760-06-30,1833-10-23,,,"     Ölgemälde eines unbekannten Künstlers, um 1815 (Rätisches Museum, Chur) Autorin/Autor: Leo Ettlin 30.6.1760 Innsbruck, 23.10.1833 St. Gallen, ​Bischofsgruft der Kathedrale Chur. Sohn des Johann Anton Baptista (->). Stud. in Feldkirch, Dillingen an der Donau (Bayern) und Rom (Collegium Germanicum). In Chur 1777 Domherr, 1781 Domkantor, 1783 Priesterweihe. 1794 Wahl zum Bf. von Chur (Weihe in Brixen, Südtirol), 1796 Belehnung mit den Reichsregalien. Nach dem Tod des Generalvikars Franz Bernhard Göldlin von Tiefenau 1819 Administrator der ehemaligen Schweizer Quart der Diözese Konstanz. 1824-33 Bf. von St. Gallen (Doppelbistum Chur-St. Gallen).B. war in einer Zeit des völligen Umsturzes der kirchl. und polit. Verhältnisse Bf. von Chur. Er blieb seiner adligen Herkunft auch nach dem Zusammenbruch der alten Ordnung treu. Die Neugestaltung von Kirche und Staat ging über den vortrefflich gebildeten und imponierend auftretenden Fürstbischof hinweg. 1799 floh er vor den Franzosen nach Meran (Südtirol). 1807 stellte ihn die bayr. Regierung an die Grenze, da sie in ihm die Seele des Tiroler Volksaufstands gegen die bayr. Okkupation sah. Im selben Jahr gründete B. in den Gebäuden der ehemaligen Prämonstratenserabtei das Priesterseminar St. Luzi. 1809 brachte er sich, immer noch von der bayr. Regierung verfolgt, in Solothurn in Sicherheit. Ende 1814 kehrte B. nach Chur zurück. 1808 war die Diözese Chur auf ihre schweiz. Territorien reduziert worden. Der Verlust des österr. Bistumsgebiets hatte die Diözese um reiche Einkünfte gebracht und zugleich die Stellung der Bündner Regierung bzw. des Corpus catholicum dem Bischof gegenüber gestärkt. Dies führte zu jahrelangen Auseinandersetzungen. Die Administration der Schweizer Quart des ehemaligen Fürstbistums Konstanz wurde B. wegen der versch. Bistumsprojekte zur grossen Last. Sorgenvoll gestalteten sich für ihn auch die Jahre als Oberhirte des Doppelbistums Chur-St. Gallen. Die St. Galler Geistlichkeit stand mehrheitlich in der konstanz.-wessenberg. Tradition, die dem Bistum Chur fremd war. Unüberwindlich waren die Spannungen der St. Galler Behörden und Geistlichen mit dem im Ancien Régime verhafteten Oberhirten. Das Zerwürfnis eskalierte im sog. Fuchsen-Handel (Alois Fuchs). Mit B.s Tod endete die kurzlebige Verbindung der beiden Bistümer."
11338,https://hls-dhs-dss.ch/de/articles/011338/,"Turrettini, Bénédict",Männlich,1551–1600,1601–1650,,Bénédict,Turrettini,1588-11-09,1631-03-04,1616,"Louise Micheli, Tochter des Horace, Seidenfabrikanten"," Autorin/Autor: Toni Cetta Übersetzung: Susanne Ritter-Lutz 9.11.1588 Zürich, 4.3.1631 Genf, ref., ab 1627 von Genf. Sohn des Francesco (->). Bruder des Jean (->). 1616 Louise Micheli, Tochter des Horace, Seidenfabrikanten. Gymnasium in Genf, 1602-04 Stud. in Heidelberg, Leiden und Franeker, 1606 Promotion in Theologie in Genf, 1611 Ordination. 1612-31 Prof. für Theologie an der Akad. Genf, 1620-25 Rektor. Ab 1612 Pfarrer in Genf und 1620-21 in Nîmes, 1620 Abgeordneter der Compagnie des pasteurs an der franz. Nationalsynode in Alès. 1621 Gesandter des Genfer Rats in den Niederlanden. T. verfasste zahlreiche Schriften, darunter lat. Abhandlungen und ein Manuskript mit dem Titel ""Histoire de la Réformation à Genève""."
11557,https://hls-dhs-dss.ch/de/articles/011557/,"Binder, Georg",Männlich,1451–1500,1501–1550,,Georg,Binder,,1545-07-17,,," Autorin/Autor: Hans Ulrich Bächtold um 1495 Zürich, 17.7.1545 Zürich, von Zürich. Sohn des Hans, Nadelmachers. 1513-19 Schüler Vadians an der Univ. Wien. 1519 Nachfolger von Oswald Myconius als Schulmeister am Zürcher Grossmünster, wo er bis 1543 Latein und Griechisch lehrte. B., eifriger Anhänger Zwinglis, beteiligte sich an der Abfassung des Protokolls der 2. Zürcher Disputation von 1523 und übersetzte mehrere Reformatorenschriften ins Deutsche. Besonders verdient machte er sich um das Schultheater: Er übte mit den Schülern lat. und griech. Komödien ein und spielte 1531 im ""Plutos"" von Aristophanes, dessen Prolog von Rudolf Collinus verfasst war, selbst mit. Am nachhaltigsten war seine Leistung als Übersetzer und Bearbeiter (1535) des ""Acolastus"" von Wilhelm Gnaphaeus."
11613,https://hls-dhs-dss.ch/de/articles/011613/,"Breitinger, Johann Jakob",Männlich,1701–1750,1751–1800,,Johann Jakob,Breitinger,,1776-12-14,1735,"Esther Schinz, Tochter des Hans Jakob, Bäckers","     Porträt des Zürcher Gelehrten. Öl auf Leinwand von Johann Caspar Füssli, um 1755 (Schweizerisches Nationalmuseum, AG-10160). […] Autorin/Autor: Michael Böhler 17.3.1701 Zürich, 14.12.1776 Zürich, ref., von Zürich. Sohn des Franz Caspar, Knopfmachers, zeitweilig Geheimsekr. des Hzg. von Württemberg, dann Majors der Zürcher Bürgermiliz, und der Verena Schubinger. 1735 Esther Schinz, Tochter des Hans Jakob, Bäckers. Nach dem Besuch des Collegium humanitatis und des Collegium Carolinum in Zürich wurde B. 1720 für das geistl. Lehramt ordiniert. Im selben Jahr begann die langjährige Zusammenarbeit mit Johann Jakob Bodmer. Nach dem Muster von Joseph Addisons moral. Wochenzeitschrift ""The Spectator"" gaben die beiden die ""Die Discourse der Mahlern"" (1721-23) heraus. Ebenfalls in die 1720er Jahre fällt die gemeinsame Gründung der ""Gesellschaft der Mahler"" und der ""Helvet."" bzw. ""Hist. Gesellschaft"", sowie der Beginn von B.s jahrzehntelanger Tätigkeit als Herausgeber, u.a. der ""Septuaginta"" (1730-32), und ― als Mitherausgeber ― von Martin Opitz' Gedichten sowie der berühmten Manesse-Handschrift. 1731 wurde B. zum Prof. des Hebräischen am Collegium humanitatis wie am Collegium Carolinum ernannt, ab 1740 unterrichtete er zudem Logik und Rhetorik, 1745 wurde er Prof. für Griechisch am Carolinum und zugleich Chorherr am Grossmünster. Noch die 1768 von ihm angeregte Gründung der Asket. Gesellschaft zur Weiterbildung angehender Pfarrer zeugt von seinen lebenslangen pädagog. und bildungsreformer. Bemühungen. Über die Grenzen der Schweiz hinaus bekannt wurde B. durch seine ästhet. und kunsttheoret. Schriften der 1740er Jahre, die sich z.T. in einen streitbaren Gegensatz zur Leipziger Schule Johann Christoph Gottscheds stellten und mit ihrem Plädoyer für eine erweiterte Geltung der Einbildungskraft, des Wunderbaren und der Phantasie der jungen Lyrikergeneration von Immanuel Jakob Pyra, der ""Bremer Beiträge"" und v.a. Friedrich Gottlieb Klopstock neue Wege wiesen."
11616,https://hls-dhs-dss.ch/de/articles/011616/,"Bronner, Franz Xaver",Männlich,1751–1800,1801–1850,,Franz Xaver,Bronner,1758-12-23,1850-08-12,1821,"Johanna Erismann, Tochter des Hans Rudolf, Schulmeisters"," Autorin/Autor: Ruedi Graf 23.12.1758 Höchstädt (Bayern), 12.8.1850 Aarau, kath., ab 1820 ref., ab 1820 von Schmiedrued. Sohn eines Ziegelbrenners. 1821 Johanna Erismann, Tochter des Hans Rudolf, Schulmeisters. Ab 1776 im Benediktinerkloster Donauwörth (Bayern), Kontakt mit der kath. Aufklärung, 1782 Mitglied des Illuminatenordens, 1783 Priesterweihe. 1785 Flucht aus dem Kloster nach Zürich, Bekanntschaft mit dem Kreis um Salomon Gessner. 1786 Rückkehr nach Augsburg, ab 1793 wieder in Zürich. 1794/95-98 Redaktor der ""Zürcher Zeitung"", 1798 Sekr. des Regierungsstatthalters des Kt. Zürich Johann Kaspar Pfenninger, 1798-1801 Kanzleichef des helvet. Ministers Philipp Albert Stapfer. 1799 Herausgeber des ""Helvet. Tagblatts"", 1799-1800 des ""Freyheitsfreunds"". 1804-10 und 1817-27 Lehrer an der Kantonsschule Aarau. 1810-17 Prof. für Physik an der Univ. Kasan (Russland). Ab 1829 Kantonsarchivar in Aarau. B. schrieb Idyllen in der Nachfolge Salomon Gessners, wissenschaftl. Studien sowie eine viel beachtete Autobiografie."
11633,https://hls-dhs-dss.ch/de/articles/011633/,"Christ, Ludwig",Männlich,1751–1800,1851–1900,,Ludwig,Christ,1791-08-16,1876-01-14,1822,"Elisabeth Fischer, Tochter des Cyprian, Obersten, von Chur"," Autorin/Autor: Ruedi Graf 16.8.1791 Chur, 14.1.1876 Chur, ref., von Chur. Sohn des Johann Baptist, Oberzunftmeisters, und der Anna Poletti. 1822 Elisabeth Fischer, Tochter des Cyprian, Obersten, von Chur. Um den napoleon. Werbern zu entgehen, trat C. in piemontes. Kriegsdienst. Philosophie- und Rechtsstud. in Berlin (u.a. bei Georg W.F. Hegel). 1821 gründete er das ""Schweiz. Volksblatt"" in Zürich, war Anwalt in Chur und Kreishauptmann der bündner. Miliz, später Oberstleutnant im schweiz. Generalstab. Als Chef der städt. Kanzleien in Chur verhalf der liberal gesinnte C. der städt. Verfassungsrevision von 1839 zum Durchbruch, die er in der 1839-41 von ihm redigierten ""Bündner Zeitung"" verteidigte. Nach dem Scheitern seiner eigenen Zeitung ""Der Morgenstern"" amtierte er 1842-56 als Verhörrichter in Glarus, war 1856-60 Redaktor der ""Rheinquellen"" in Chur, 1860 der ""Glarner Zeitung"". Danach unternahm er eine Nordamerika-Reise. C. verfasste ein Winkelried-Drama sowie gesellige und patriot. Lieder und Festgedichte."
11585,https://hls-dhs-dss.ch/de/articles/011585/,"Bonstetten, Albrecht von",Männlich,1401–1450,1501–1550,,Albrecht von,Bonstetten,,,,," Autorin/Autor: Albert Hug Um 1442/1443 Uster, um 1504/05 Einsiedeln. Sohn des Kaspar und der Elisabeth von Hohensax,. Neffe des Einsiedler Abts Gerold von Hohensax. Über die frühe Jugend B.s ist nichts bekannt. Der Eintritt in die Benediktinerabtei Einsiedeln (frühestens um 1454) ist nicht genau datierbar. In Freiburg i.Br. (1466) und Basel (bis 1468) studierte B. die Artes liberales. 1469 wurde er in Einsiedeln zum Dekan ernannt. Seine Studien, v.a. Theologie und kanon. Recht, setzte er 1471-74 in Pavia fort. Nach Einsiedeln zurückgekehrt, empfing B. 1474 die Priesterweihe. Seine Neigung zum Humanismus und seine polit. Interessen eröffneten ihm vielfältige Beziehungen (intensiver Briefwechsel und Reisen) zu Persönlichkeiten aus Wissenschaften (Niklaus von Wyle), Kirche und Politik (Ehzg. Sigismund von Tirol, Kg. Ludwig XI. von Frankreich). Auch zahlreiche Ehrungen wurden ihm zuteil (1482 Hofpfalzgf. und Hofkaplan durch Ks. Friedrich III., 1498 Dr. iur. utr. durch Kg. Maximilian I.). In den Schriften offenbart sich die Zwiespältigkeit seines Denkens. Der Humanist B. blieb in vielem dem spätma. Gedankengut, aber auch der priesterl. Berufung verpflichtet. Seine Stärke lag eher in der Darstellung zeitgenöss. Gegebenheiten als in kritischen hist. Nachforschungen. Zudem beeinflusste sein Bemühen um die Gunst von Honoratioren das schriftstellerische Arbeiten. Der Wunsch nach einer eigenen Pfründe ging dennoch nicht in Erfüllung.Zu den hist.-polit. Werken in lat. und in dt. Sprache gehören eine Darstellung der Burgunderkriege (1477), eine landeskundl. Beschreibung der acht alten Orte (1479), die erste gedruckte Geschichte des Klosters Einsiedeln (1494) und eine Geschichte des Hauses Habsburg (1491). Den hagiograf. und religiösen Werken sind namentlich zuzurechnen: eine Biografie des Niklaus von Flüe (1479), den er kurz zuvor persönlich kennengelernt hatte, eine Legende der hl. Id(d)a von Toggenburg (1481) und eine Art Marienbrevier (1493), Ks. Friedrich III. gewidmet. B. war bei seinen Zeitgenossen hoch geachtet. Er förderte in seinem Kloster trotz der Unbilden der Zeit Wissenschaft und Bildung. Gegen Ende seines Lebens entsagte er öffentl. Auftritten. B. starb, beinahe vergessen, in klösterl. Zurückgezogenheit."
