Kirchgemeinde,URI
Winterthur,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Winterthur
Aawangen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Aawangen
Aadorf,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Aadorf
Bäretswil,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Baeretswil
Rüti,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Rueti
Russikon,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Russikon
Schlatt,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Schlatt
Schlieren,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Schlieren
Bassersdorf,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Bassersdorf
Seegräben,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Seegraeben
Stadel,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Stadel
Stäfa,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Staefa
Stallikon,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Stallikon
Stammheim,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Stammheim
Steinmaur,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Steinmaur
Bauma,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Bauma
Thalheim an der Thur,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Thalheim_an_der_Thur
Thalwil,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Thalwil
Trüllikon,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Truellikon
Turbenthal,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Turbenthal
Uesslingen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Uesslingen
Uetikon am See,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Uetikon_am_See
Urdorf-Dietikon,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Urdorf-Dietikon
Uster,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Uster
Benken,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Benken
Volketswil,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Volketswil
Wädenswil,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Waedenswil
Wald,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Wald
Wangen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Wangen
Weiach,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Weiach
Weiningen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Weiningen
Weisslingen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Weisslingen
Wetzikon,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Wetzikon
Bichelsee,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Bichelsee
Berg am Irchel,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Berg_am_Irchel
Wiesendangen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Wiesendangen
Wil,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Wil
Wila,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Wila
Wildberg,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Wildberg
Zell,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Zell
Zollikon,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Zollikon
Birmensdorf,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Birmensdorf
Zumikon,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Zumikon
Bonstetten,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Bonstetten
Brütten,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Bruetten
Bubikon,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Bubikon
