Info,Anzahl
,104240
Teste Diacono petrino,1
verkündet Bubikon 15. Jan.,1
Unterbeck im Spital,1
"b. 30. März 1734""",1
Bürger zu Matzingen,3
"getraut im Hirzel, um 10 Uhr (auf ehegerichtlichen Schein, nach ihrem Begehren)",1
"mit Bewilligung des Rates (""per. Ampl. Mag. 3. grad."")",1
Gütsch,1
alt Ehgaumer Johannesen sel.,2
Hr. Müller,1
getraut zu Zürich zu den Predigern. Er hat sich zu Fluntern eingekauft und ist nicht mehr Bürger zu Herrliberg.,1
"""Winterthurer Bott""",1
des neuen Schmieds sel. Sohn,1
"""negarunt praematurum concubitum"".",1
"genannt ""Gfeller""",1
von der Abfolge her ist es der August),1
Löheiris,1
Schuster,156
"getraut zu Kirchberg (""Kilchberg im Turgöw"")",1
"getraut zu Zürich beim Grossmünster. ""Disere sind durch unsere Gnädige Hhren. ... nach erlegter Buß zusammen geordnet u. an gleichem Tag zu Zürich bim Großen Münster copuliert worden.""",1
"aus der Wylen, der Pfarr Hittnau",2
Wünsch,1
[getraut zu Zürich bei Sankt Peter],1
aus dem Wirtenbergischen,1
"""H. Cunrat Grob""",1
Spüler,1
Cunrat Räbick,1
Elliker Schulmeister,1
prokl. 19. Februar,1
in der Mühli,1
getraut zu Herblingen (im Schaffhauser Gebiet),1
"Eltern: Eusebius Fehr sel., Barbara Keiser",1
uß dem Schwendi,3
nat. 2. März 1749,2
sesshaft zu Ehrikon,1
baptiz. den 14. Febr. 1719,1
Hanß Orell der Harzer,1
"""Hanß Syferig ab Niderwiß""",1
"getraut zu Wangen, weil er daselbst sesshaft ist.",1
in der Mühle,12
"""Leüenwirth""",1
"""ward damals zu Brugg in Arbeit""",1
bapt. d. 4. Mart. 1725,1
"Heinrich Irmingers sel. jüngster Sohn, aetat. 40",1
Sie wurden auf Ansuchen von Ackeret in Marthalen getraut.,1
"Kleinhansen (""Kl. H."")",5
b. d. 26. 7br. 1717,1
"beide ""von Örlikon, der Pfarr Schwamendingen""",1
"war in Horgen in Arbeit ""und wise auff seine glaubwürdige Testimoniales"".",1
von Dorlicken,1
"getraut zu Otelfingen, mit Bewilligung des Ehegerichts",1
des Amtsseckelmeisters Sohn,1
laut Schein des Distriktgerichts Zürich,1
Rotgiesser,1
b. 28. Aug. 1749,1
Hans Gollen Sohn,2
"mit Bewilligung des Ehegerichts (""M. F. P."")",1
b. 28. Aug. 1746,1
B. den 13. Apr. 1723,1
b. 28. Aug. 1742,1
Kämblers,1
Weibelshansen sel. Sohn,1
Ruedlis Sohn in Ürschen,1
setzt sich zu Effretikon.,1
Gärtner,17
an der Sylbrug,1
F. Hanß Abegg,1
"getraut um 9 Uhr (""Cop. f. h. 9."")",9
Mühlen- u. Tischmacher,1
Clihans Rütschis sel. Sohn,1
"getraut zu Zürich, ""ohne daß die Hochzeit verkündet worden"".",1
nat. 10. Juli 1740,1
Mahlknecht,1
