Männervorname,URI
Andreas,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Andreas
Bizi,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Bizi
Jordanus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Jordanus
Johann Ludwig,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Ludwig
Vigile,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Vigile
Erasmus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Erasmus
Moses,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Moses
Thüring,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Thuering
Lenzius,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Lenzius
Ostimus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Ostimus
Hans Hermann,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Hermann
Peter Paul,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Peter_Paul
Georg Benedikt,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Georg_Benedikt
Franz Xaver,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Franz_Xaver
Kleingeorg,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Kleingeorg
Johann Sebastian,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Sebastian
Friedrich Bernhard,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Friedrich_Bernhard
Hans Diebold,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Diebold
jakob,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_jakob
Ludwig Xavier,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Ludwig_Xavier
Hans Friedrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Friedrich
Kurzhans,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Kurzhans
Nögger,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Noegger
Hans Walter,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Walter
Henri,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Henri
Hans Gerius,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Gerius
Titus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Titus
Friedrich Jakob,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Friedrich_Jakob
