Nachname,URI
Andreas,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Andreas
Castalin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Castalin
von Gunten,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_von_Gunten
Krusenhar,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Krusenhar
Seller,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Seller
Doudin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Doudin
Balli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Balli
Kefon,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kefon
Schuster,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schuster
Rettenmund,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rettenmund
Engelberg,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Engelberg
Freuler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Freuler
Derger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Derger
Unruch,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Unruch
Baltisberger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Baltisberger
Gabeli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gabeli
Röser,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Roeser
Köberlin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Koeberlin
Leimhauser,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Leimhauser
Uppin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Uppin
Lochnaper,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Lochnaper
Kammerer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kammerer
Eberli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Eberli
Kuttler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kuttler
Gärtner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gaertner
Paur,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Paur
Baumgärtner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Baumgaertner
Hausheer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hausheer
Erler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Erler
Dörfli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Doerfli
Wecker,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wecker
Bylli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bylli
Blöchli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bloechli
Graländer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gralaender
Ladame,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ladame
Rufer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rufer
Schufler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schufler
Messer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Messer
Läser,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Laeser
Glaeser,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Glaeser
Waldvogel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Waldvogel
Tinner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Tinner
Eilfli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Eilfli
Arzet,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Arzet
Alther,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Alther
Fügi,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Fuegi
Hamilton,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hamilton
Näfli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Naefli
Emmishofer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Emmishofer
Christmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Christmann
Bodney,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bodney
Munot,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Munot
Feer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Feer
Balderer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Balderer
Schrammeis,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schrammeis
Stöcklin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stoecklin
Mesner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Mesner
Bierbrauer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bierbrauer
Bärenkrezer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Baerenkrezer
Süri,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Sueri
Muri,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Muri
Bereuter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bereuter
Mulan,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Mulan
Fischbacher,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Fischbacher
Uetziker,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Uetziker
Murz,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Murz
Zinninger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Zinninger
Mohn,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Mohn
Isler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Isler
Lauwer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Lauwer
Mengelt,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Mengelt
Hertach,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hertach
Schwäppeli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schwaeppeli
Basig,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Basig
Räbick,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Raebick
Biegler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Biegler
zu Wyden,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_zu_Wyden
Terler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Terler
Kieler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kieler
