Info,Anzahl
,104331
alt Ehgaumer Johannesen sel.,1
"""Ryniger""",4
"aus der Wylen, der Pfarr Hittnau",1
nata den 26. Junii A°. 1716,1
"""Bernergeb.""",1
"""von Oberherten der Pfarr Ellikon""",1
"von Unterhalau, Schaffhauser Gebiets",1
baptis. den 29. Apr. 1725,1
Witwe des Ulrich Ruckstuhl,1
Nat. den 28sten Jun. A° 1739,1
"""Dietzentanner""",2
b. d. 2. Febr. 1727,1
"Eltern: Rudolf Altorfer, Anna Leemann",1
bapt. 18. Merz [17]70,1
[bapt.] 9br. 1710,1
Reimensperger,1
B. d. 2. Xbr. 1731,1
Datum der Erteilung des Kopulationsscheins,1
im Gfell in der Pfarr Wyla,1
nata 22. Sept. 1754,1
baptiz. 6. Merz 1770,1
nata 3. Aug. ao. 1663.,1
"des Schulmeisters ""im Thal, Husergem[einde]. Tochter""",1
"""aus dem Steinenbach""",2
nat. d. 16. 9ber 1704,1
Nüwenhusen,2
b. d. 26sten 7br. 1734,1
Märgerin,1
"Jgfr. Julie Droz, aus der Meyerey Locle, im Fürstenthum Neüenburg",1
"""der Pfarr Egg"" (Witwe des Hans Jakob Müller ab der Halden)",1
Konrad Meiers sel. Tochter,2
aus dem Beeerlischwend der Pfarr Bichelsee,1
Margret Visler von Berg,1
bapt. den 28. Julii 1711,1
corrupta virg[initate].,1
[n.] a. 1761,1
"Eltern: Mr. Jakob Kaufmann, Schuhmacher, und Anna Kaufmann",1
"Francisca Mionet aus Dauphinè. [Das Protokoll des Ehegerichts gibt ""Francisca Monet de Pont à Royan en Dauphine"" (YY 1.241, S. 203-204",1
"des Küfers und Pflegers Tochter ""ab Dorff""",1
"Bapt. 1736, 16. 7br.",1
"""nata den 5. April. 1685""",1
Datum der Entlassung (Schreiben an Pfarrer Jakob Ziegler zu Maschwanden),1
Nat. 3. Hornung 1756,1
"""Nata 1722 im Febr.""",1
"""von Rieden der Pfhr. Dietlikon""",1
Heinrich Wiederkehren Tochter,1
Türrigi,1
Witwe des Seilers Ulrich Schurter,1
B. den 13. Apr. 1728,1
bapt. in Colmar den 27. Febr. 1719,1
Stüsserin,1
"von Märwyl, beyde d. Pfarr Affeltrangen",1
nat. 1733 den 18ten Aug.,1
b. 22. Okt. 1724,1
Rudolf Knechten Tochter,1
bap. 1. Febr. 1750,1
Anna Hägenin,1
Baptiz. 8. Sept. 1718,1
uß der Pfarr Mänidorff,1
"Witwe des Heinrich Peter von Oberschneit (""aus dem oberen Schneitt, der Pfarr Elgg"")",1
"""von Altstätten bey Höng""",1
Gärtner,1
Entlassung (versprochen mit Hans Kaspar Grob),1
b. 29. Sept. 1737,1
"Jf. [Einträge im Ehegerichtsprotokoll 1732: Der Schneidergeselle Brecht erhält die Traubewilligung für das Grossmünster, muss aber nachher mit seiner Zürcher Frau wegziehen",1
aus dem Geehren,1
"Heinrichs sel. Tochter (""Henrici p. m. filia"")",1
nat. 23. Febr. 1743,1
bapt. 10. Xbr. 1769,1
"""Conc. et cop. Hr. Casp. Manz, Frater. T[ext]. Ps. 37:1.""",1
B. den 12. Aug. 1724,1
b. 26. Xbris 1710,1
baptiz. 5. Feb. 1737,1
Schlafinhaufen,1
"""von Underschottiken, in der Pfarey Elgg""",1
baptizata 31. Aug. 1707,1
b. 26. 7br. 1739,1
nata den 4. 8br. [1]733,1
b. 19. Nov. 1773,1
b. d. 24. Jan. 1768,1
b. d. 24. Jan. 1769,1
"nata 1762, 5. 7br.",1
b. 19. Nov. 1774,1
"Jakob Wehrlis, Ehgaumers, Tochter",1
bapt. d. 18. 9br. 1708,1
Nata 17. 9ber 1712,1
N. 28. Jul. 1765,1
v. St. Anthonien in Pündten,1
"nata 1729, 13. 9bris",1
"Jgfr. Elisabetha Juliana Thallheim, von Wolfenbüttel, Magd bei Jkr. Landvogt Grebel",1
"Eltern: Georg Schmid und Elisabeth NN [Statt des Familiennamens steht ""Lauffen"", also die Kirchgemeinde.]",1
[bapt.] d. 29. Jun. 1732,1
Läser,2
von Retschen der Pfarr Ellsau,1
"Rüggeri, ""Guwyl""",1
"Witwe des Emanuel Leibensberger von Gundetswil (""Guntenschwyl"")",1
b. 27. 7br. 1750,1
baptiz. d. 7. Merz 1723,1
"von Eptingen, Basler-Gebiets",1
"Jakobs, Schlossers, Tochter",1
Bapt. 24. 7br. [17]65,1
